,pic_id,data_id,correlation,autocorrelation,max_null,average_null,pic_name,test_param,smoothed,true_pos,sample_size,n,difficulty,percent,attempt
41,41,21,0.708032347,0.413683267,0.606269153,0.091794479,sU2wFafx71N99.svg,scatter,no,19,5,12,3,0.142857143,7
42,42,21,0.708032347,0.413683267,0.606269153,0.091794479,l10eu93wUpnfY.svg,line,no,19,5,12,3,0,5
43,43,22,0.885498097,0.034154939,-0.732227239,-0.066536164,sYwOWRHsBniov.svg,scatter,no,3,5,12,4,1,10
44,44,22,0.885498097,0.034154939,-0.732227239,-0.066536164,lYbEZpfTosQLr.svg,line,no,3,5,12,4,0.571428571,7
45,45,23,0.912089412,-0.658401132,0.645004225,-0.009385916,sDXv0Fyotzeb1.svg,scatter,no,19,5,12,4,0.777777778,9
46,46,23,0.912089412,-0.658401132,0.645004225,-0.009385916,lRRvZaj5z5p3y.svg,line,no,19,5,12,4,0.666666667,6
47,47,24,0.895346895,-0.039168862,-0.764928722,-0.106155005,sAfLO1Jj3ExLh.svg,scatter,no,8,5,12,4,0.923076923,13
48,48,24,0.895346895,-0.039168862,-0.764928722,-0.106155005,l6MKrtFColsJn.svg,line,no,8,5,12,4,0.75,12
49,49,25,-0.900764118,-0.195614981,0.330771634,0.056270523,scxrz8tArp6wH.svg,scatter,no,16,5,24,-4,1,5
50,50,25,-0.900764118,-0.195614981,0.330771634,0.056270523,ldqO0XZDfpmAY.svg,line,no,16,5,24,-4,0.285714286,7
51,51,26,-0.902386366,0.093835472,-0.46292096,-0.055229528,sO1iXjlLh3kId.svg,scatter,no,19,5,24,-4,0.571428571,7
52,52,26,-0.902386366,0.093835472,-0.46292096,-0.055229528,lzGV08K8pWlMg.svg,line,no,19,5,24,-4,0.2,5
53,53,27,-0.913421721,-0.162484079,-0.422162024,-0.070033676,shilQOTBXOzCS.svg,scatter,no,10,5,24,-4,0.8,10
54,54,27,-0.913421721,-0.162484079,-0.422162024,-0.070033676,lzFSiC9SNl6n0.svg,line,no,10,5,24,-4,0.090909091,11
55,55,28,-0.696457225,0.459963894,-0.381225251,-0.007459039,st6g60B6Gihj5.svg,scatter,no,7,5,24,-3,0.777777778,9
56,56,28,-0.696457225,0.459963894,-0.381225251,-0.007459039,lLq68dVv2bdEO.svg,line,no,7,5,24,-3,0.25,8
57,57,29,-0.699578454,-0.091681625,0.470548312,-0.066948232,spJoR7RRGzSs0.svg,scatter,no,4,5,24,-3,1,4
58,58,29,-0.699578454,-0.091681625,0.470548312,-0.066948232,lMLDGVZ3EhUwT.svg,line,no,4,5,24,-3,0.25,4
59,59,30,-0.714357586,0.101520552,-0.309044763,0.02252784,sz9pGvenlmomx.svg,scatter,no,8,5,24,-3,0.625,8
60,60,30,-0.714357586,0.101520552,-0.309044763,0.02252784,ljbBT1Fi4ZbOo.svg,line,no,8,5,24,-3,0.333333333,9
61,61,31,-0.511403495,0.389815552,0.390441089,0.077734877,s459PzrupyCfD.svg,scatter,no,18,5,24,-2,0.25,4
62,62,31,-0.511403495,0.389815552,0.390441089,0.077734877,layA8NIxd0ayL.svg,line,no,18,5,24,-2,0.111111111,9
63,63,32,-0.503695286,0.132135694,-0.404673401,0.013629597,spItiTCfJugtj.svg,scatter,no,15,5,24,-2,0.666666667,3
64,64,32,-0.503695286,0.132135694,-0.404673401,0.013629597,l66fhZqYQKSwG.svg,line,no,15,5,24,-2,0.142857143,7
65,65,33,-0.491151691,0.556213577,0.277174569,-0.001999253,sMSCqnhbwW4x7.svg,scatter,no,4,5,24,-2,0.090909091,11
66,66,33,-0.491151691,0.556213577,0.277174569,-0.001999253,l3exHolJhqVlw.svg,line,no,4,5,24,-2,0,2
67,67,34,-0.288123657,-0.017253913,-0.622229519,0.040589851,sQg9Cjz5GEiVp.svg,scatter,no,11,5,24,-1,0,10
68,68,34,-0.288123657,-0.017253913,-0.622229519,0.040589851,lQRJdd41Xs9pU.svg,line,no,11,5,24,-1,0,2
69,69,35,-0.293346543,0.064385251,0.519020569,0.000208346,sbtnH1gZVKDop.svg,scatter,no,20,5,24,-1,0,5
70,70,35,-0.293346543,0.064385251,0.519020569,0.000208346,l3KOwptAf1o8f.svg,line,no,20,5,24,-1,0.4,5
71,71,36,-0.306300769,0.088071023,0.420313021,0.077469253,sLcLKneRGFTh4.svg,scatter,no,17,5,24,-1,0,8
72,72,36,-0.306300769,0.088071023,0.420313021,0.077469253,lBcVVBE3Wz2AF.svg,line,no,17,5,24,-1,0,8
73,73,37,0.488551276,0.47367364,0.51249152,0.027462535,sSRLvaVkSPe2L.svg,scatter,no,2,5,24,2,0,4
74,74,37,0.488551276,0.47367364,0.51249152,0.027462535,lJxLvbIne2Zi7.svg,line,no,2,5,24,2,0,5
75,75,38,0.307369427,0.101551118,0.343139215,0.006840971,sP67eiJk2QVg8.svg,scatter,no,19,5,24,1,0,5
76,76,38,0.307369427,0.101551118,0.343139215,0.006840971,lQ4HjuIFFTWn0.svg,line,no,19,5,24,1,0,6
77,77,39,0.289298739,0.077908952,-0.420916707,-0.040021649,s11WwTGOEjPo6.svg,scatter,no,10,5,24,1,0.333333333,9
78,78,39,0.289298739,0.077908952,-0.420916707,-0.040021649,lol2IxJYK1FUa.svg,line,no,10,5,24,1,0,8
79,79,40,0.512563198,0.265232059,0.346665762,0.054130383,s259PMqB8ykyo.svg,scatter,no,3,5,24,2,0.111111111,9
80,80,40,0.512563198,0.265232059,0.346665762,0.054130383,lOcUtowafh1GL.svg,line,no,3,5,24,2,0.142857143,7
81,81,41,0.30901668,0.199827019,0.418059321,-0.069872192,s39g8H6tBzyFk.svg,scatter,no,1,5,24,1,0,6
82,82,41,0.30901668,0.199827019,0.418059321,-0.069872192,l15Uxoi36MJdp.svg,line,no,1,5,24,1,0.4,5
83,83,42,0.491748525,0.201265798,0.396751829,0.044765954,sLsI8GGwxvPpE.svg,scatter,no,18,5,24,2,0.166666667,6
84,84,42,0.491748525,0.201265798,0.396751829,0.044765954,lsIGBLiXYqeVn.svg,line,no,18,5,24,2,0.166666667,6
85,85,43,0.685138491,0.017627579,0.512079089,-0.010943312,sj9Kzn6tmLyHQ.svg,scatter,no,2,5,24,3,0.5,8
86,86,43,0.685138491,0.017627579,0.512079089,-0.010943312,ly2VSf86sHnhW.svg,line,no,2,5,24,3,0.666666667,9
87,87,44,0.696768577,0.11675691,0.527202244,-0.005689276,sTFLymndIW0mh.svg,scatter,no,17,5,24,3,0.222222222,9
88,88,44,0.696768577,0.11675691,0.527202244,-0.005689276,lbw5oQqFLJSH7.svg,line,no,17,5,24,3,0.666666667,9
89,89,45,0.687637761,0.328254971,-0.383069796,-0.07285507,sJznE5LOoa9Ll.svg,scatter,no,17,5,24,3,0.4,5
90,90,45,0.687637761,0.328254971,-0.383069796,-0.07285507,l8KyVzaT9D34e.svg,line,no,17,5,24,3,0.666666667,6
91,91,46,0.889899041,0.133287563,0.631133543,0.006807834,sEVntaJhuAEMD.svg,scatter,no,4,5,24,4,1,4
92,92,46,0.889899041,0.133287563,0.631133543,0.006807834,l0TuB0DHP6xCy.svg,line,no,4,5,24,4,0.8,5
93,93,47,0.914001702,0.197133999,0.5677093,-0.071681522,sQNTvLzRCXBal.svg,scatter,no,13,5,24,4,1,11
94,94,47,0.914001702,0.197133999,0.5677093,-0.071681522,liJ9Iv1E4WobD.svg,line,no,13,5,24,4,0.714285714,7
95,95,48,0.886285014,0.301365964,-0.466855236,0.021106398,sM3TMQKmqG7Bd.svg,scatter,no,5,5,24,4,0.75,4
96,96,48,0.886285014,0.301365964,-0.466855236,0.021106398,lbC4U4ZhiJGfb.svg,line,no,5,5,24,4,0.888888889,9
97,97,49,-0.902509451,0.372241682,0.215711352,0.026047386,s6Z58A1IKAWtr.svg,scatter,no,5,5,48,-4,1,11
98,98,49,-0.902509451,0.372241682,0.215711352,0.026047386,lIpnLSpuaFW67.svg,line,no,5,5,48,-4,0,6
99,99,50,-0.897798034,0.401910383,0.428911574,0.024539625,sE3haGMHEZU83.svg,scatter,no,19,5,48,-4,1,4
100,100,50,-0.897798034,0.401910383,0.428911574,0.024539625,lRCXjD59ycOUD.svg,line,no,19,5,48,-4,0,8
101,101,51,-0.888962068,0.516981761,0.339240014,0.071168782,sRU8vW0i9Vl7H.svg,scatter,no,1,5,48,-4,0.909090909,11
102,102,51,-0.888962068,0.516981761,0.339240014,0.071168782,lgX8WqbGNf2ya.svg,line,no,1,5,48,-4,0,2
103,103,52,-0.692801891,0.345342689,-0.367042358,-0.028184482,sCajjs4llAiTx.svg,scatter,no,5,5,48,-3,1,8
104,104,52,-0.692801891,0.345342689,-0.367042358,-0.028184482,lEHEZFNkQkGgD.svg,line,no,5,5,48,-3,0.333333333,6
105,105,53,-0.698957221,0.390757723,-0.294329564,0.008959855,s0yQsqETYIXFD.svg,scatter,no,11,5,48,-3,0.764705882,17
106,106,53,-0.698957221,0.390757723,-0.294329564,0.008959855,le0tCykWXh1dX.svg,line,no,11,5,48,-3,0.285714286,7
107,107,54,-0.713270322,0.555067634,-0.274436008,-0.03237906,sEHS7U7XrMdBx.svg,scatter,no,13,5,48,-3,0.875,8
108,108,54,-0.713270322,0.555067634,-0.274436008,-0.03237906,lGMAWWdCW9krp.svg,line,no,13,5,48,-3,0.142857143,7
109,109,55,-0.492292354,0.322126917,-0.268643808,0.018114312,s5abpTd09zbq3.svg,scatter,no,6,5,48,-2,0,4
110,110,55,-0.492292354,0.322126917,-0.268643808,0.018114312,lNzM4lEyBbuWT.svg,line,no,6,5,48,-2,0.071428571,14
111,111,56,-0.499111148,0.337740982,0.303103589,0.014623831,sLEUWRoWGmjfM.svg,scatter,no,11,5,48,-2,0.25,4
112,112,56,-0.499111148,0.337740982,0.303103589,0.014623831,lIxLAGDvuphfV.svg,line,no,11,5,48,-2,0.375,8
113,113,57,-0.514909717,0.471189164,-0.311822984,-0.057572665,sXdbEBfzNJifQ.svg,scatter,no,12,5,48,-2,0.333333333,9
114,114,57,-0.514909717,0.471189164,-0.311822984,-0.057572665,lQwzT0NxThVfi.svg,line,no,12,5,48,-2,0,5
115,115,58,-0.295268222,0.506113939,-0.306208114,-0.031691265,sYjEsc2ZFd5hL.svg,scatter,no,10,5,48,-1,0.142857143,7
116,116,58,-0.295268222,0.506113939,-0.306208114,-0.031691265,l3WT9C6zviAL7.svg,line,no,10,5,48,-1,0.125,16
117,117,59,-0.295653277,0.549562963,-0.323468782,-0.037214125,s7QBYJyMbuxGv.svg,scatter,no,8,5,48,-1,0.375,8
118,118,59,-0.295653277,0.549562963,-0.323468782,-0.037214125,lMKDqvALUiTX7.svg,line,no,8,5,48,-1,0.142857143,7
119,119,60,-0.30098879,0.372841829,0.299407869,0.067382576,sVCSh9ECS4WN8.svg,scatter,no,18,5,48,-1,0.125,8
120,120,60,-0.30098879,0.372841829,0.299407869,0.067382576,ldBFVhHGNEfQm.svg,line,no,18,5,48,-1,0.125,8
121,121,61,0.293432144,0.442404601,0.348438759,0.010032714,spGUcJq0OM5SS.svg,scatter,no,18,5,48,1,0,10
122,122,61,0.293432144,0.442404601,0.348438759,0.010032714,lgnRWVx6SyCGP.svg,line,no,18,5,48,1,0.428571429,7
123,123,62,0.292330377,0.510798333,0.474560304,0.014543986,sFXfOOCVR0StT.svg,scatter,no,13,5,48,1,0,3
124,124,62,0.292330377,0.510798333,0.474560304,0.014543986,letyUNlxl5pu2.svg,line,no,13,5,48,1,0.166666667,6
125,125,63,0.288828492,0.429034287,-0.297639314,0.005083749,s6wVzlOQcEBYX.svg,scatter,no,10,5,48,1,0,4
126,126,63,0.288828492,0.429034287,-0.297639314,0.005083749,l5QSc4KqwLHiJ.svg,line,no,10,5,48,1,0.1,10
127,127,64,0.497617379,0.287456002,0.223349997,0.029202611,sPOjbTxuWIG97.svg,scatter,no,7,5,48,2,0.583333333,12
128,128,64,0.497617379,0.287456002,0.223349997,0.029202611,lPanJeHJy0jo6.svg,line,no,7,5,48,2,0.833333333,6
129,129,65,0.492776792,0.455097509,-0.23963117,-0.033694866,s3b6dtStGpLfx.svg,scatter,no,4,5,48,2,0.5,4
130,130,65,0.492776792,0.455097509,-0.23963117,-0.033694866,lpVYb7gKU5mTi.svg,line,no,4,5,48,2,0.75,4
131,131,66,0.491937886,0.480529587,0.269596868,-0.000491357,sY28uKwbOqUeB.svg,scatter,no,2,5,48,2,0.857142857,14
132,132,66,0.491937886,0.480529587,0.269596868,-0.000491357,lre2rhkfLGHKT.svg,line,no,2,5,48,2,0.666666667,9
133,133,67,0.685072631,0.354040242,-0.326545644,-0.010209677,s9m3xOK6qcWKq.svg,scatter,no,11,5,48,3,1,7
134,134,67,0.685072631,0.354040242,-0.326545644,-0.010209677,l6quqZH3DgCxL.svg,line,no,11,5,48,3,0.454545455,11
135,135,68,0.693035423,0.639428032,0.262466474,-0.021571481,s4PscQzbdcivd.svg,scatter,no,11,5,48,3,1,6
136,136,68,0.693035423,0.639428032,0.262466474,-0.021571481,lBleWs7gAktIO.svg,line,no,11,5,48,3,0.6,5
137,137,69,0.699869313,0.282034549,-0.32030686,-0.017072402,sA1OZYleAzMR8.svg,scatter,no,19,5,48,3,0.857142857,7
138,138,69,0.692833026,0.282034549,-0.302124874,-0.035541099,lV4TYLoVyi7r0.svg,line,no,1,5,48,3,0.75,12
139,139,70,0.906282213,0.469109693,0.175571379,0.036397427,sJGhsDim3mxAt.svg,scatter,no,4,5,48,4,1,4
140,140,70,0.906282213,0.469109693,0.175571379,0.036397427,levqphUkPliOG.svg,line,no,4,5,48,4,0.846153846,13
141,141,71,0.88620764,0.655186382,-0.303784284,-0.015712245,s2iPzGMJ00kjf.svg,scatter,no,19,5,48,4,1,6
142,142,71,0.88620764,0.655186382,-0.303784284,-0.015712245,l52sE9GsCA2ZV.svg,line,no,19,5,48,4,0,8
143,143,72,0.904706711,0.74144567,-0.237021309,-0.009961099,s6UA8On7ObUyV.svg,scatter,no,13,5,48,4,1,10
144,144,72,0.904706711,0.74144567,-0.237021309,-0.009961099,lDmCWW05oDHOW.svg,line,no,13,5,48,4,0.833333333,6
145,145,73,-0.901378936,0.552795129,0.232349975,0.026279338,sTYeJz0fMr9jZ.svg,scatter,no,14,5,96,-4,1,4
146,146,73,-0.901378936,0.552795129,0.232349975,0.026279338,lf62Bzriz8zpM.svg,line,no,14,5,96,-4,0.111111111,9
147,147,74,-0.908061845,0.492659912,0.170240741,0.018255806,sbcUqiNIdFuDb.svg,scatter,no,16,5,96,-4,0.909090909,11
148,148,74,-0.908061845,0.492659912,0.170240741,0.018255806,lfMsi5aPR4k0e.svg,line,no,16,5,96,-4,0.333333333,3
149,149,75,-0.90554102,0.54181614,0.278372224,-0.048662411,sGFGvZNoN9pMT.svg,scatter,no,7,5,96,-4,1,6
150,150,75,-0.90554102,0.54181614,0.278372224,-0.048662411,l76x4cOUXfNVZ.svg,line,no,7,5,96,-4,0,9
151,151,76,-0.709965882,0.484262886,-0.252835524,-0.041114091,sQJPaAMfsY8pv.svg,scatter,no,2,5,96,-3,1,1
152,152,76,-0.709965882,0.484262886,-0.252835524,-0.041114091,l7NQ4PPn67zVl.svg,line,no,2,5,96,-3,0,4
153,153,77,-0.696026225,0.295225842,-0.214284179,-0.018836681,sKOsVnPavHFBu.svg,scatter,no,14,5,96,-3,0.6,5
154,154,77,-0.696026225,0.295225842,-0.214284179,-0.018836681,lCvzi7XcgE65x.svg,line,no,14,5,96,-3,0.125,8
155,155,78,-0.690028229,0.483218261,0.162287282,0.038032832,s6GiZHExy89yG.svg,scatter,no,11,5,96,-3,1,3
156,156,78,-0.690028229,0.483218261,0.162287282,0.038032832,llptKiLmCgShC.svg,line,no,11,5,96,-3,0,5
157,157,79,-0.48685211,0.401378565,-0.264662376,0.014436359,srNL0ySrOkpLx.svg,scatter,no,19,5,96,-2,0,9
158,158,79,-0.48685211,0.401378565,-0.264662376,0.014436359,lA4hgLf1ATfXa.svg,line,no,19,5,96,-2,0,6
159,159,80,-0.512551719,0.51029088,-0.225667755,-0.015617885,s0ZPnLvKQjD7g.svg,scatter,no,11,5,96,-2,0.666666667,15
160,160,80,-0.512551719,0.51029088,-0.225667755,-0.015617885,l7SleDr6TF6KW.svg,line,no,11,5,96,-2,0,10
161,161,81,-0.496059123,0.460596921,-0.248131138,-0.030733877,suYeyfOgr3XD3.svg,scatter,no,5,5,96,-2,0.333333333,6
162,162,81,-0.496059123,0.460596921,-0.248131138,-0.030733877,lcDsDkr37U73h.svg,line,no,5,5,96,-2,0,7
163,163,82,-0.291579239,0.420372295,-0.13297322,-0.000784105,sbV2BooIiqU8X.svg,scatter,no,5,5,96,-1,0,7
164,164,82,-0.291579239,0.420372295,-0.13297322,-0.000784105,l5iFTVjDEqCqf.svg,line,no,5,5,96,-1,0.111111111,9
165,165,83,-0.288856627,0.413080578,0.134297183,0.026166912,sfg1WZXsFRd2O.svg,scatter,no,11,5,96,-1,0.1,10
166,166,83,-0.288856627,0.413080578,0.134297183,0.026166912,lazmmjuWKZkEE.svg,line,no,11,5,96,-1,0.166666667,6
167,167,84,-0.290245263,0.437568256,-0.200162677,-0.009928412,s1aPaLdzt2rsA.svg,scatter,no,3,5,96,-1,0.363636364,11
168,168,84,-0.290245263,0.437568256,-0.200162677,-0.009928412,lOfsbEjjH2PsJ.svg,line,no,3,5,96,-1,0,6
169,169,85,0.286590116,0.447477458,0.144451193,-6.24E-06,st2cPaiOjZivo.svg,scatter,no,3,5,96,1,0.3,10
170,170,85,0.286590116,0.447477458,0.144451193,-6.24E-06,lNWC7pHZQczZ5.svg,line,no,3,5,96,1,0,3
171,171,86,0.299594603,0.507331616,-0.261391573,-0.02446751,syQdr7kFB7Vws.svg,scatter,no,11,5,96,1,0.75,12
172,172,86,0.299594603,0.507331616,-0.261391573,-0.02446751,l1gZUjRm31vbY.svg,line,no,11,5,96,1,0.8,5
173,173,87,0.298579473,0.473167683,-0.154280346,0.026203021,syk6Rkksw0CDd.svg,scatter,no,16,5,96,1,0.428571429,7
174,174,87,0.298579473,0.473167683,-0.154280346,0.026203021,lr8yJ088V8ehj.svg,line,no,16,5,96,1,0.666666667,3
175,175,88,0.51498689,0.484397201,0.185528525,-0.009029539,sA26vpiyGarBf.svg,scatter,no,16,5,96,2,1,7
176,176,88,0.51498689,0.484397201,0.185528525,-0.009029539,llh5XdCE1krj5.svg,line,no,16,5,96,2,0.727272727,11
177,177,89,0.500408506,0.439078332,0.241178825,0.009922697,sWJszGVW47XGv.svg,scatter,no,10,5,96,2,0.545454545,11
178,178,89,0.500408506,0.439078332,0.241178825,0.009922697,lWyFvpkgoZywA.svg,line,no,10,5,96,2,0.25,8
179,179,90,0.488083838,0.444135069,0.175905368,0.00034204,suBy2pmyG3AUO.svg,scatter,no,13,5,96,2,0.8,10
180,180,90,0.488083838,0.444135069,0.175905368,0.00034204,liGcRLB4QFxwf.svg,line,no,13,5,96,2,0.111111111,9
181,181,91,0.692822448,0.574869007,-0.276230994,-0.053948487,sd4VRB0k6rjjm.svg,scatter,no,12,5,96,3,0.833333333,6
182,182,91,0.692822448,0.574869007,-0.276230994,-0.053948487,lO9xVUe3sAiDK.svg,line,no,12,5,96,3,0.75,4
183,183,92,0.690713742,0.428561745,0.254973221,-0.000543545,sUnj8EaYeadPN.svg,scatter,no,11,5,96,3,1,9
184,184,92,0.690713742,0.428561745,0.254973221,-0.000543545,lgSiFsZJdXonm.svg,line,no,11,5,96,3,0.6,10
185,185,93,0.704275903,0.553426616,0.172321729,-0.002293131,snslmvMRPscUM.svg,scatter,no,4,5,96,3,0.8,5
186,186,93,0.704275903,0.553426616,0.172321729,-0.002293131,lleC6csjAbyz0.svg,line,no,4,5,96,3,1,5
187,187,94,0.906732363,0.692848098,-0.302434772,0.028976864,suXiZhgsu9vER.svg,scatter,no,17,5,96,4,0.833333333,6
188,188,94,0.906732363,0.692848098,-0.302434772,0.028976864,lZmbmzMTsyslA.svg,line,no,17,5,96,4,0.714285714,7
189,189,95,0.903656729,0.420564025,0.223823521,0.037037023,soc8DyNRPa55r.svg,scatter,no,11,5,96,4,1,7
190,190,95,0.903656729,0.420564025,0.223823521,0.037037023,lwz6Wfmkr4Bui.svg,line,no,11,5,96,4,0.8,10
191,191,96,0.905627169,0.407021665,-0.231223914,-0.015478066,sVRwXdeJKUNOt.svg,scatter,no,3,5,96,4,1,4
192,192,96,0.905627169,0.407021665,-0.231223914,-0.015478066,l8vAeT9UgN0By.svg,line,no,3,5,96,4,0.8,5
193,193,97,-0.705157581,0.824105205,-0.391323065,0.044379873,sWGbztf9cRb4C.svg,scatter,yes,11,5,48,-3,0.909090909,11
194,194,97,-0.705157581,0.824105205,-0.391323065,0.044379873,l4ByKlBIK5NHI.svg,line,yes,11,5,48,-3,0.285714286,7
195,195,98,-0.902042554,0.853175317,-0.301968905,0.014678842,snbj2CcOz00mT.svg,scatter,yes,9,5,48,-4,1,2
196,196,98,-0.902042554,0.853175317,-0.301968905,0.014678842,lHvPBDpZ4LZAg.svg,line,yes,9,5,48,-4,0.545454545,11
197,197,99,-0.898897031,0.787439889,-0.279587441,0.038797248,stUhHi1kCRjRc.svg,scatter,yes,11,5,48,-4,1,6
198,198,99,-0.898897031,0.787439889,-0.279587441,0.038797248,lp2bxBG6YYvdI.svg,line,yes,11,5,48,-4,0.625,8
199,199,100,-0.908659914,0.876675676,-0.305951575,-0.004679181,sQ2b7VteylKVp.svg,scatter,yes,12,5,48,-4,0.5,2
200,200,100,-0.908659914,0.876675676,-0.305951575,-0.004679181,lO6G2Xf6NsfCy.svg,line,yes,12,5,48,-4,0.857142857,7
201,201,101,-0.699694562,0.900806565,0.421522022,0.052802995,sBSwhlZC15DiV.svg,scatter,yes,20,5,48,-3,0.75,8
202,202,101,-0.699694562,0.900806565,0.421522022,0.052802995,lEvD3hwmzppEd.svg,line,yes,20,5,48,-3,0.333333333,3
203,203,102,-0.711978487,0.897228196,0.534401884,0.095000033,svBbyV2GFdWWw.svg,scatter,yes,11,5,48,-3,0.857142857,7
204,204,102,-0.711978487,0.897228196,0.534401884,0.095000033,lfjlWliGTPrKT.svg,line,yes,11,5,48,-3,0.583333333,12
